,Logistic Regression Priviledged Rate,Logistic Regression Discriminated Rate,LDA Priviledged Rate,LDA Discriminated Rate,XG Priviledged Rate,XG Discriminated Rate,Decision Tree Priviledged Rate,Decision Tree Discriminated Rate,RF Priviledged Rate,RF Discriminated Rate
95,0.17777777777777778,0.09,0.325,0.1595744680851064,0.358974358974359,0.25287356321839083,0.4722222222222222,0.345679012345679,0.2619047619047619,0.17204301075268819
96,0.2542372881355932,0.175,0.37037037037037035,0.22077922077922077,0.45098039215686275,0.20512820512820512,0.5102040816326531,0.4461538461538462,0.32142857142857145,0.16049382716049382
97,0.16666666666666666,0.38235294117647056,0.3125,0.2702702702702703,0.2857142857142857,0.2876712328767123,0.575,0.3055555555555556,0.26,0.25333333333333335
98,0.3191489361702128,0.3835616438356164,0.37777777777777777,0.3116883116883117,0.37777777777777777,0.32894736842105265,0.3191489361702128,0.2948717948717949,0.4090909090909091,0.27848101265822783
99,0.22916666666666666,0.125,0.7878787878787878,0.2857142857142857,0.5526315789473685,0.21348314606741572,0.43902439024390244,0.3670886075949367,0.5128205128205128,0.21348314606741572
100,0.14583333333333334,0.19540229885057472,0.30952380952380953,0.31645569620253167,0.375,0.31645569620253167,0.4473684210526316,0.4246575342465753,0.34146341463414637,0.2235294117647059
101,0.2641509433962264,0.17647058823529413,0.24074074074074073,0.19047619047619047,0.24074074074074073,0.2345679012345679,0.2641509433962264,0.3698630136986301,0.19642857142857142,0.19047619047619047
102,0.25806451612903225,0.10434782608695652,0.5,0.23300970873786409,0.56,0.25742574257425743,0.3448275862068966,0.35106382978723405,0.39285714285714285,0.25742574257425743
103,0.25396825396825395,0.17647058823529413,0.29508196721311475,0.23076923076923078,0.29508196721311475,0.2698412698412698,0.27419354838709675,0.19402985074626866,0.29508196721311475,0.19402985074626866
104,0.15254237288135594,0.28205128205128205,0.23636363636363636,0.28205128205128205,0.23636363636363636,0.26582278481012656,0.2830188679245283,0.25,0.19298245614035087,0.25
105,0.171875,0.15584415584415584,0.4423076923076923,0.3484848484848485,0.36363636363636365,0.2898550724637681,0.5625,0.45901639344262296,0.3888888888888889,0.2714285714285714
106,0.2857142857142857,0.25,0.3584905660377358,0.2676056338028169,0.44,0.3235294117647059,0.5319148936170213,0.42857142857142855,0.3584905660377358,0.25
107,0.13725490196078433,0.13333333333333333,0.48717948717948717,0.18604651162790697,0.6111111111111112,0.21428571428571427,0.5675675675675675,0.2911392405063291,0.45,0.2289156626506024
108,0.05,0.039473684210526314,0.2923076923076923,0.29508196721311475,0.3125,0.31666666666666665,0.423728813559322,0.3620689655172414,0.3125,0.25396825396825395
109,0.1746031746031746,0.11494252873563218,0.27586206896551724,0.2125,0.27586206896551724,0.19753086419753085,0.45098039215686275,0.4057971014492754,0.2542372881355932,0.19753086419753085
110,0.26229508196721313,0.13333333333333333,0.26229508196721313,0.2318840579710145,0.3050847457627119,0.21428571428571427,0.6382978723404256,0.3076923076923077,0.375,0.18055555555555555
111,0.3888888888888889,0.14772727272727273,0.2711864406779661,0.16091954022988506,0.3157894736842105,0.1348314606741573,0.29310344827586204,0.18823529411764706,0.19047619047619047,0.1348314606741573
112,0.2413793103448276,0.18292682926829268,0.2857142857142857,0.2597402597402597,0.3090909090909091,0.3287671232876712,0.3584905660377358,0.4057971014492754,0.3584905660377358,0.22784810126582278
